484,under18,2010,2490884,Georgia
485,total,2010,9713248,Georgia
486,total,2013,9992167,Georgia
487,total,2009,9620846,Georgia
488,under18,2009,2485781,Georgia
489,under18,2013,2489709,Georgia
490,total,2007,9349988,Georgia
491,under18,2007,2456249,Georgia
492,total,2008,9504843,Georgia
493,under18,2008,2479097,Georgia
494,total,2005,8925922,Georgia
495,under18,2005,2353604,Georgia
496,total,2006,9155813,Georgia
497,under18,2006,2406014,Georgia
498,total,2003,8622793,Georgia
499,under18,2003,2278710,Georgia
500,total,2004,8769252,Georgia
501,under18,2004,2308855,Georgia
502,total,2001,8377038,Georgia
503,under18,2001,2215390,Georgia
504,total,2002,8508256,Georgia
505,under18,2002,2249784,Georgia
506,total,1999,8045965,Georgia
507,under18,1999,2130698,Georgia
508,total,2000,8227303,Georgia
509,under18,2000,2176576,Georgia
510,total,1997,7685099,Georgia
511,under18,1997,2034163,Georgia
512,under18,1998,2078998,Georgia
513,total,1998,7863536,Georgia
514,under18,1996,1993171,Georgia
515,total,1996,7501069,Georgia
516,total,1995,7328413,Georgia
517,under18,1995,1949818,Georgia
518,under18,1992,1817781,Georgia
519,total,1992,6817203,Georgia
520,total,1993,6978240,Georgia
521,under18,1993,1865021,Georgia
522,under18,1994,1906539,Georgia
523,total,1994,7157165,Georgia
524,total,1991,6653005,Georgia
525,under18,1991,1773675,Georgia
526,under18,1990,1747363,Georgia
527,total,1990,6512602,Georgia
528,under18,1990,279983,Hawaii
529,total,1990,1113491,Hawaii
530,total,1991,1136754,Hawaii
531,under18,1991,287871,Hawaii
532,under18,1994,307517,Hawaii
533,total,1994,1187536,Hawaii
534,total,1993,1172838,Hawaii
535,under18,1993,301473,Hawaii
536,under18,1992,295124,Hawaii
537,total,1992,1158613,Hawaii
538,total,1995,1196854,Hawaii
539,under18,1995,310325,Hawaii
540,under18,1996,311213,Hawaii
541,total,1996,1203755,Hawaii
542,under18,1998,304576,Hawaii
543,total,1998,1215233,Hawaii
544,total,1997,1211640,Hawaii
545,under18,1997,309465,Hawaii
546,total,2000,1213519,Hawaii
547,under18,2000,295352,Hawaii
548,total,1999,1210300,Hawaii
549,under18,1999,299680,Hawaii
550,total,2002,1239613,Hawaii
551,under18,2002,293600,Hawaii
552,total,2001,1225948,Hawaii
553,under18,2001,294133,Hawaii
554,total,2004,1273569,Hawaii
555,under18,2004,298103,Hawaii
556,total,2003,1251154,Hawaii
557,under18,2003,294519,Hawaii
558,total,2006,1309731,Hawaii
559,under18,2006,299313,Hawaii
560,total,2005,1292729,Hawaii
561,under18,2005,298497,Hawaii
562,total,2008,1332213,Hawaii
563,under18,2008,301094,Hawaii
564,total,2007,1315675,Hawaii
565,under18,2007,300207,Hawaii
566,under18,2013,307266,Hawaii
567,total,2009,1346717,Hawaii
568,under18,2009,302796,Hawaii
569,total,2013,1404054,Hawaii
570,total,2010,1363731,Hawaii
571,under18,2010,303812,Hawaii
572,total,2011,1376897,Hawaii
573,under18,2011,305396,Hawaii
574,under18,2012,305981,Hawaii
575,total,2012,1390090,Hawaii
576,under18,1990,719366,Iowa
577,total,1990,2781018,Iowa
578,total,1991,2797613,Iowa
579,under18,1991,724446,Iowa
580,under18,1994,728397,Iowa
581,total,1994,2850746,Iowa
582,total,1993,2836972,Iowa
583,under18,1993,727751,Iowa
584,under18,1992,724798,Iowa
585,total,1992,2818401,Iowa
586,total,1995,2867373,Iowa
587,under18,1995,726961,Iowa
588,under18,1996,729177,Iowa
589,total,1996,2880001,Iowa
590,under18,1998,729943,Iowa
591,total,1998,2902872,Iowa
592,total,1997,2891119,Iowa
593,under18,1997,729806,Iowa
594,total,2000,2929067,Iowa
595,under18,2000,733337,Iowa
596,total,1999,2917634,Iowa
597,under18,1999,732671,Iowa
598,total,2002,2934234,Iowa
599,under18,2002,723685,Iowa
600,total,2001,2931997,Iowa
601,under18,2001,728601,Iowa
602,total,2004,2953635,Iowa
603,under18,2004,718708,Iowa
604,total,2003,2941999,Iowa
605,under18,2003,720102,Iowa
606,total,2006,2982644,Iowa
607,under18,2006,721703,Iowa
608,total,2005,2964454,Iowa
609,under18,2005,718488,Iowa
610,total,2008,3016734,Iowa
611,under18,2008,725658,Iowa
612,total,2007,2999212,Iowa
613,under18,2007,723632,Iowa
614,under18,2013,724032,Iowa
615,total,2009,3032870,Iowa
616,under18,2009,726969,Iowa
617,total,2013,3090416,Iowa
618,total,2010,3050314,Iowa
619,under18,2010,727717,Iowa
620,total,2011,3064102,Iowa
621,under18,2011,725522,Iowa
622,under18,2012,723917,Iowa
623,total,2012,3075039,Iowa
624,total,2012,1595590,Idaho
625,under18,2012,427177,Idaho
626,under18,2011,428535,Idaho
627,total,2011,1583930,Idaho
628,under18,2010,428961,Idaho
629,total,2010,1570718,Idaho
630,total,2013,1612136,Idaho
631,total,2009,1554439,Idaho
632,under18,2009,426076,Idaho
633,under18,2013,427781,Idaho
634,total,2007,1505105,Idaho
635,under18,2007,415024,Idaho
636,total,2008,1534320,Idaho
637,under18,2008,422347,Idaho
638,total,2005,1428241,Idaho
639,under18,2005,394651,Idaho
640,total,2006,1468669,Idaho
641,under18,2006,404753,Idaho
642,total,2003,1363380,Idaho
643,under18,2003,379241,Idaho
644,total,2004,1391802,Idaho
645,under18,2004,384692,Idaho
646,total,2001,1319962,Idaho
647,under18,2001,373145,Idaho
648,total,2002,1340372,Idaho
649,under18,2002,375986,Idaho
650,total,1999,1275674,Idaho
651,under18,1999,366689,Idaho
652,total,2000,1299430,Idaho
653,under18,2000,370430,Idaho
654,total,1997,1228520,Idaho
655,under18,1997,357779,Idaho
656,under18,1998,362189,Idaho
657,total,1998,1252330,Idaho
658,under18,1996,353824,Idaho
659,total,1996,1203083,Idaho
660,total,1995,1177322,Idaho
661,under18,1995,349248,Idaho
662,under18,1992,324972,Idaho
663,total,1992,1071685,Idaho
664,total,1993,1108768,Idaho
665,under18,1993,333838,Idaho
666,under18,1994,344242,Idaho
667,total,1994,1145140,Idaho
668,total,1991,1041316,Idaho
669,under18,1991,316732,Idaho
670,under18,1990,313373,Idaho
671,total,1990,1012384,Idaho
672,under18,1990,2940837,Illinois
673,total,1990,11453316,Illinois
674,total,1991,11568964,Illinois
675,under18,1991,2988715,Illinois
676,under18,1994,3110938,Illinois
677,total,1994,11912585,Illinois
678,total,1993,11809579,Illinois
679,under18,1993,3066541,Illinois
680,under18,1992,3033427,Illinois
681,total,1992,11694184,Illinois
682,total,1995,12008437,Illinois
683,under18,1995,3152984,Illinois
684,under18,1996,3192916,Illinois
685,total,1996,12101997,Illinois
686,under18,1998,3225252,Illinois
687,total,1998,12271847,Illinois
688,total,1997,12185715,Illinois
689,under18,1997,3222114,Illinois
690,total,2000,12434161,Illinois
691,under18,2000,3244944,Illinois
692,total,1999,12359020,Illinois
693,under18,1999,3240034,Illinois
694,total,2002,12525556,Illinois
695,under18,2002,3238362,Illinois
696,total,2001,12488445,Illinois
697,under18,2001,3243617,Illinois
698,total,2004,12589773,Illinois
699,under18,2004,3211599,Illinois
700,total,2003,12556006,Illinois
701,under18,2003,3225547,Illinois
702,total,2006,12643955,Illinois
703,under18,2006,3181246,Illinois
704,total,2005,12609903,Illinois
705,under18,2005,3197318,Illinois
706,total,2008,12747038,Illinois
707,under18,2008,3153401,Illinois
708,total,2007,12695866,Illinois
709,under18,2007,3170134,Illinois
710,under18,2013,3023307,Illinois
711,total,2009,12796778,Illinois
712,under18,2009,3138406,Illinois
713,total,2013,12882135,Illinois
714,total,2010,12839695,Illinois
715,under18,2010,3122092,Illinois
716,total,2011,12855970,Illinois
717,under18,2011,3089833,Illinois
718,under18,2012,3057042,Illinois
719,total,2012,12868192,Illinois
720,total,2012,6537782,Indiana
721,under18,2012,1589655,Indiana
722,under18,2011,1598091,Indiana
723,total,2011,6516336,Indiana
724,under18,2010,1605883,Indiana
725,total,2010,6489965,Indiana
726,total,2013,6570902,Indiana
727,total,2009,6459325,Indiana
728,under18,2009,1609704,Indiana
729,under18,2013,1586027,Indiana
730,total,2007,6379599,Indiana
731,under18,2007,1609494,Indiana
732,total,2008,6424806,Indiana
733,under18,2008,1611494,Indiana
734,total,2005,6278616,Indiana
735,under18,2005,1593898,Indiana
736,total,2006,6332669,Indiana
737,under18,2006,1603107,Indiana
738,total,2003,6196638,Indiana
739,under18,2003,1582560,Indiana
740,total,2004,6233007,Indiana
741,under18,2004,1586281,Indiana
742,total,2001,6127760,Indiana
743,under18,2001,1579527,Indiana
744,total,2002,6155967,Indiana
745,under18,2002,1580814,Indiana
746,total,1999,6044970,Indiana
747,under18,1999,1566079,Indiana
748,total,2000,6091866,Indiana
749,under18,2000,1574989,Indiana
750,total,1997,5955267,Indiana
751,under18,1997,1539270,Indiana
752,under18,1998,1551960,Indiana
753,total,1998,5998881,Indiana
754,under18,1996,1517961,Indiana
755,total,1996,5906013,Indiana
756,total,1995,5851459,Indiana
757,under18,1995,1507916,Indiana
758,under18,1992,1461650,Indiana
759,total,1992,5674547,Indiana
760,total,1993,5739019,Indiana
761,under18,1993,1473007,Indiana
762,under18,1994,1491802,Indiana
763,total,1994,5793526,Indiana
764,total,1991,5616388,Indiana
765,under18,1991,1450759,Indiana
766,under18,1990,1437209,Indiana
767,total,1990,5557798,Indiana
768,total,2012,2885398,Kansas
769,under18,2012,726668,Kansas
770,under18,2011,726787,Kansas
771,total,2011,2869548,Kansas
772,under18,2010,727729,Kansas
773,total,2010,2858910,Kansas
774,total,2013,2893957,Kansas
775,total,2009,2832704,Kansas
776,under18,2009,721841,Kansas
777,under18,2013,724092,Kansas
778,total,2007,2783785,Kansas
779,under18,2007,711005,Kansas
780,total,2008,2808076,Kansas
781,under18,2008,714689,Kansas
782,total,2005,2745299,Kansas
783,under18,2005,704689,Kansas
784,total,2006,2762931,Kansas
785,under18,2006,705277,Kansas
786,total,2003,2723004,Kansas
787,under18,2003,707847,Kansas
788,total,2004,2734373,Kansas
789,under18,2004,705456,Kansas
790,total,2001,2702162,Kansas
791,under18,2001,710923,Kansas
792,total,2002,2713535,Kansas
793,under18,2002,709416,Kansas
794,total,1999,2678338,Kansas
795,under18,1999,713022,Kansas
796,total,2000,2693681,Kansas
797,under18,2000,713887,Kansas
798,total,1997,2635292,Kansas
799,under18,1997,704001,Kansas
800,under18,1998,710402,Kansas
801,total,1998,2660598,Kansas
802,under18,1996,696298,Kansas
803,total,1996,2614554,Kansas
804,total,1995,2601008,Kansas
805,under18,1995,694124,Kansas
806,under18,1992,680871,Kansas
807,total,1992,2532395,Kansas
808,total,1993,2556547,Kansas
809,under18,1993,687262,Kansas
810,under18,1994,693673,Kansas
811,total,1994,2580513,Kansas
812,total,1991,2498722,Kansas
813,under18,1991,672033,Kansas
814,under18,1990,662641,Kansas
815,total,1990,2481349,Kansas
816,under18,1990,945951,Kentucky
817,total,1990,3694048,Kentucky
818,total,1991,3722328,Kentucky
819,under18,1991,951512,Kentucky
820,under18,1994,981439,Kentucky
821,total,1994,3849088,Kentucky
822,total,1993,3812206,Kentucky
823,under18,1993,971134,Kentucky
824,under18,1992,963861,Kentucky
825,total,1992,3765469,Kentucky
826,total,1995,3887427,Kentucky
827,under18,1995,984486,Kentucky
828,under18,1996,987062,Kentucky
829,total,1996,3919536,Kentucky
830,under18,1998,997296,Kentucky
831,total,1998,3985391,Kentucky
832,total,1997,3952747,Kentucky
833,under18,1997,1002609,Kentucky
834,total,2000,4049021,Kentucky
835,under18,2000,994984,Kentucky
836,total,1999,4018053,Kentucky
837,under18,1999,996382,Kentucky
838,total,2002,4089875,Kentucky
839,under18,2002,995251,Kentucky
840,total,2001,4068132,Kentucky
841,under18,2001,994105,Kentucky
842,total,2004,4146101,Kentucky
843,under18,2004,998459,Kentucky
844,total,2003,4117170,Kentucky
845,under18,2003,998485,Kentucky
846,total,2006,4219239,Kentucky
847,under18,2006,1011295,Kentucky
848,total,2005,4182742,Kentucky
849,under18,2005,1004020,Kentucky
850,total,2008,4289878,Kentucky
851,under18,2008,1022001,Kentucky
852,total,2007,4256672,Kentucky
853,under18,2007,1016288,Kentucky
854,under18,2013,1014004,Kentucky
855,total,2009,4317074,Kentucky
856,under18,2009,1021710,Kentucky
857,total,2013,4395295,Kentucky
858,total,2010,4347698,Kentucky
859,under18,2010,1023679,Kentucky
860,total,2011,4366869,Kentucky
