,county_name,population,state_id
493,Hyde,2489,33
494,Iredell,92919,33
495,Johnston,69244,33
496,Lenoir,24658,33
497,McDowell,18497,33
498,Mecklenburg,1698602,33
499,Moore,86102,33
500,Nash,77651,33
501,New Hanover,337370,33
502,Onslow,147293,33
503,Pamlico,5321,33
504,Pasquotank,18466,33
505,Pender,16454,33
506,Perquimans,2795,33
507,Person,8097,33
508,Pitt,149423,33
509,Randolph,142155,33
510,Robeson,36896,33
511,Rowan,66584,33
512,Sampson,15520,33
513,Scotland,21487,33
514,Stanly,32786,33
515,Stokes,11619,33
516,Surry,21459,33
517,Swain,3775,33
518,Transylvania,8412,33
519,Tyrrell,498,33
520,Vance,16539,33
521,Wake,1515504,33
522,Watauga,23222,33
523,Wilkes,24688,33
524,Wilson,158361,33
525,Yadkin,7703,33
526,Yancey,2065,33
527,Alameda,1668687,4
528,Alpine,863,4
529,Amador,29523,4
530,Butte,208003,4
531,Calaveras,28956,4
532,Colusa,17458,4
533,Contra Costa,1857006,4
534,Del Norte,12773,4
535,El Dorado,133552,4
536,Fresno,1069174,4
537,Glenn,16939,4
538,Humboldt,132140,4
539,Imperial,228124,4
540,Inyo,15596,4
541,Kern,1049602,4
542,Lassen,25923,4
543,Los Angeles,18408104,4
544,Madera,148832,4
545,Marin,245216,4
546,Mariposa,7412,4
547,Mendocino,45054,4
548,Merced,310151,4
549,Modoc,5062,4
550,Mono,12595,4
551,Monterey,504000,4
552,Napa,126937,4
553,Nevada,57430,4
554,Placer,342671,4
555,Plumas,15743,4
556,Riverside,4807275,4
557,Sacramento,2963560,4
558,San Benito,49638,4
559,San Bernardino,2303953,4
560,San Diego,4833276,4
561,San Francisco,3290197,4
562,San Joaquin,811753,4
563,San Luis Obispo,274683,4
564,San Mateo,745738,4
565,Santa Barbara,574759,4
566,Santa Clara,2670151,4
567,Santa Cruz,417935,4
568,Shasta,178780,4
569,Siskiyou,26123,4
570,Solano,521345,4
571,Sonoma,547179,4
572,Stanislaus,694386,4
573,Sutter,133999,4
574,Tehama,33525,4
575,Trinity,18831,4
576,Tulare,525932,4
577,Tuolumne,34359,4
578,Ventura,1060155,4
579,Yolo,215435,4
580,Yuba,69791,4
581,Albany,726388,32
582,Bronx,1472654,32
583,Broome,200392,32
584,Cattaraugus,31911,32
585,Cayuga,34978,32
586,Chautauqua,72802,32
587,Chemung,77583,32
588,Chenango,8166,32
589,Cortland,23248,32
590,Dutchess,503806,32
591,Erie,1419050,32
592,Herkimer,19001,32
593,Kings,2909805,32
594,Monroe,1227583,32
595,Nassau,1361869,32
596,New York,1694263,32
597,Niagara,119836,32
598,Oneida,189591,32
599,Onondaga,518753,32
600,Ontario,20135,32
601,Oswego,42224,32
602,Otsego,26626,32
603,Queens,21378335,32
604,Rensselaer,80197,32
605,Rockland,297015,32
606,Saratoga,96487,32
607,Schenectady,86933,32
608,Schoharie,1316,32
609,St. Lawrence,16255,32
610,Steuben,44684,32
611,Tioga,24878,32
612,Tompkins,56905,32
613,Ulster,71747,32
614,Westchester,736693,32
615,Yates,9142,32
616,Alcona,1933,22
617,Alger,2592,22
618,Allegan,26655,22
619,Alpena,11078,22
620,Antrim,6994,22
621,Arenac,3562,22
622,Baraga,4915,22
623,Benzie,4316,22
624,Berrien,73542,22
625,Branch,19430,22
626,Charlevoix,10676,22
627,Cheboygan,7427,22
628,Clare,6438,22
629,Delta,38396,22
630,Dickinson,40709,22
631,Eaton,54970,22
632,Genesee,404189,22
633,Gladwin,4297,22
634,Gogebic,9216,22
635,Grand Traverse,19548,22
636,Gratiot,22703,22
637,Hillsdale,18041,22
638,Houghton,21439,22
639,Ingham,450514,22
640,Ionia,28989,22
641,Iosco,8726,22
642,Isabella,27400,22
643,Kalamazoo,295031,22
644,Kalkaska,5081,22
645,Kent,1159942,22
646,Keweenaw,851,22
647,Lapeer,21962,22
648,Leelanau,4028,22
649,Lenawee,46358,22
650,Luce,1436,22
651,Mackinac,3165,22
652,Macomb,489032,22
653,Manistee,9825,22
654,Marquette,50231,22
655,Mecosta,13370,22
656,Menominee,14545,22
657,Missaukee,2110,22
658,Montcalm,18658,22
659,Montmorency,2318,22
660,Muskegon,222604,22
661,Newaygo,9448,22
662,Oakland,912773,22
663,Oceana,7805,22
664,Ogemaw,6566,22
665,Ontonagon,3126,22
666,Oscoda,1497,22
667,Ottawa,219422,22
668,Presque Isle,4721,22
669,Roscommon,11138,22
670,Saginaw,163016,22
671,Sanilac,12875,22
672,Schoolcraft,2817,22
673,Shiawassee,30946,22
674,St. Clair,383985,22
675,Tuscola,16103,22
676,Van Buren,32375,22
677,Washtenaw,378050,22
678,Wayne,4612301,22
679,Wexford,13726,22
680,Alcorn,17900,24
681,Amite,2287,24
682,Attala,7959,24
683,Bolivar,23966,24
684,Chickasaw,14120,24
685,Coahoma,18477,24
686,Copiah,11529,24
687,DeSoto,160079,24
688,Forrest,99741,24
689,George,3343,24
690,Grenada,13696,24
691,Harrison,422958,24
692,Hinds,373668,24
693,Issaquena,538,24
694,Itawamba,6740,24
695,Jones,47774,24
696,Kemper,1479,24
697,Leake,7982,24
698,Leflore,17760,24
699,Neshoba,12294,24
700,Noxubee,4228,24
701,Oktibbeha,28989,24
702,Panola,21285,24
703,Pearl River,18506,24
704,Prentiss,9790,24
705,Quitman,4092,24
706,Rankin,78749,24
707,Sharkey,3507,24
708,Stone,15957,24
709,Sunflower,18724,24
710,Tallahatchie,6550,24
711,Tate,10103,24
712,Tippah,8968,24
713,Tishomingo,7285,24
714,Tunica,5264,24
715,Walthall,2107,24
716,Wilkinson,8300,24
717,Winston,14941,24
718,Yalobusha,4734,24
719,Yazoo,11963,24
720,Aleutians East,3409,1
721,Aleutians West,5251,1
722,Anchorage,292545,1
723,Bethel,18290,1
724,Bristol Bay,849,1
725,Chugach,6959,1
726,Copper River,2619,1
727,Denali,2117,1
728,Dillingham,4806,1
729,Fairbanks North Star,127395,1
730,Haines,2096,1
731,Hoonah-Angoon,2281,1
732,Juneau,43882,1
733,Kenai Peninsula,58320,1
734,Ketchikan Gateway,8506,1
735,Kodiak Island,13131,1
736,Kusilvak,8341,1
737,Lake and Peninsula,912,1
738,Matanuska-Susitna,101830,1
739,Nome,9852,1
740,North Slope,9767,1
741,Northwest Arctic,7698,1
742,Prince of Wales-Hyder,5393,1
743,Sitka,8518,1
744,Skagway,1217,1
745,Southeast Fairbanks,6543,1
746,Wrangell,2162,1
747,Yakutat,562,1
748,Yukon-Koyukuk,5243,1
749,Alfalfa,4506,36
750,Atoka,4631,36
751,Beckham,17829,36
752,Bryan,50303,36
753,Canadian,72280,36
754,Carter,71532,36
755,Choctaw,15554,36
756,Cimarron,1424,36
757,Cleveland,248441,36
758,Coal,2918,36
759,Comanche,110151,36
760,Cotton,3775,36
761,Craig,7458,36
762,Creek,38205,36
763,Custer,45101,36
764,Garfield,107980,36
765,Garvin,14182,36
766,Grady,40566,36
767,Greer,4509,36
768,Harmon,1705,36
769,Kay,37181,36
770,Kingfisher,9252,36
771,Kiowa,9274,36
772,Latimer,3743,36
773,Le Flore,27969,36
774,Love,4262,36
775,Major,4248,36
776,Mayes,20504,36
777,McClain,33627,36
778,McCurtain,13940,36
779,McIntosh,13008,36
780,Murray,19192,36
781,Muskogee,48814,36
782,Nowata,5129,36
783,Okfuskee,6091,36
784,Oklahoma,1243350,36
785,Okmulgee,22036,36
786,Osage,24808,36
787,Payne,62002,36
788,Pittsburg,29980,36
789,Pontotoc,32401,36
790,Pottawatomie,61230,36
791,Pushmataha,3549,36
792,Roger Mills,1425,36
793,Rogers,43650,36
794,Sequoyah,25380,36
795,Stephens,48224,36
796,Texas,27579,36
797,Tillman,5651,36
798,Tulsa,975606,36
799,Wagoner,22864,36
800,Washita,8108,36
801,Woods,6251,36
802,Woodward,13829,36
803,Allamakee,8389,15
804,Appanoose,7619,15
805,Audubon,3292,15
806,Black Hawk,168611,15
807,Bremer,18102,15
808,Buena Vista,23819,15
809,Cerro Gordo,38251,15
810,Clinton,197245,15
811,Des Moines,32160,15
812,Dubuque,88013,15
813,Emmet,18196,15
814,Guthrie,6257,15
815,Ida,5083,15
816,Keokuk,6359,15
817,Kossuth,9559,15
818,Linn,393174,15
819,Louisa,9652,15
820,Mahaska,15285,15
821,Marshall,183491,15
822,Mills,9895,15
823,Monona,6209,15
824,Muscatine,35736,15
825,O'Brien,11020,15
826,Page,21807,15
827,Palo Alto,6813,15
828,Pocahontas,6611,15
829,Polk,1811592,15
830,Pottawattamie,76263,15
831,Poweshiek,13760,15
832,Ringgold,3153,15
833,Sac,6555,15
834,Scott,583017,15
835,Sioux,29464,15
836,Story,89186,15
837,Tama,10772,15
838,Wapello,28311,15
839,Webster,79632,15
840,Winneshiek,10857,15
841,Woodbury,124470,15
842,Allegany,55421,20
843,Anne Arundel,533945,20
844,Baltimore,2962613,20
845,Calvert,40139,20
846,Caroline,20939,20
847,Carroll,277612,20
848,Cecil,30880,20
849,Charles,162468,20
850,Frederick,300701,20
851,Garrett,8376,20
852,Harford,368449,20
853,Howard,392717,20
854,Prince George's,901249,20
855,Queen Anne's,27582,20
856,St. Mary's,48496,20
857,Talbot,23285,20
858,Wicomico,125674,20
859,Allegheny,2228270,38
860,Armstrong,27157,38
861,Beaver,76721,38
862,Berks,464232,38
863,Blair,116062,38
864,Bucks,186084,38
865,Cambria,73872,38
866,Centre,140780,38
867,Chester,168907,38
868,Clarion,12980,38
869,Clearfield,33830,38
870,Dauphin,586538,38
871,Elk,23421,38
872,Forest,6499,38
873,Huntingdon,15274,38
874,Indiana,28166,38
875,Juniata,4685,38
876,Lackawanna,475367,38
877,Lancaster,916980,38
878,Lawrence,172350,38
879,Lebanon,125251,38
880,Lehigh,816733,38
881,Luzerne,221773,38
882,Lycoming,60908,38
883,McKean,19311,38
884,Mifflin,23605,38
885,Montour,4434,38
886,Northampton,202338,38
887,Northumberland,54507,38
888,Philadelphia,5512873,38
889,Schuylkill,87997,38
890,Snyder,17070,38
891,Susquehanna,6548,38
892,Venango,28545,38
893,Westmoreland,167400,38
894,York,743172,38
895,Allen,483232,14
896,Bartholomew,54358,14
897,Blackford,7798,14
898,Dearborn,28422,14
899,Delaware,466537,14
900,Dubois,26308,14
901,Elkhart,211030,14
902,Fountain,9456,14
903,Gibson,52182,14
904,Grant,215818,14
905,Hendricks,100986,14
906,Huntington,22459,14
907,Jay,10678,14
908,Jennings,11575,14
909,Kosciusko,32014,14
910,LaGrange,5643,14
911,LaPorte,104469,14
912,Marion,2663906,14
913,Noble,32458,14
914,Owen,5219,14
915,Parke,5182,14
916,Porter,113035,14
917,Posey,9931,14
918,Ripley,17527,14
919,Rush,11042,14
920,Spencer,13522,14
921,St. Joseph,415620,14
922,Starke,9683,14
923,Switzerland,2253,14
924,Tippecanoe,219855,14
925,Vanderburgh,231734,14
926,Vermillion,10051,14
927,Vigo,104072,14
928,Wabash,26125,14
929,Warrick,15905,14
930,Wells,17526,14
931,Whitley,29371,14
932,Andrews,14076,44
933,Angelina,49768,44
934,Aransas,13343,44
935,Archer,5279,44
936,Atascosa,21791,44
937,Austin,15023,44
938,Bailey,5781,44
939,Bandera,6648,44
940,Bastrop,43487,44
941,Baylor,2940,44
942,Bee,17095,44
943,Bell,443424,44
944,Bexar,2170843,44
945,Blanco,3832,44
946,Borden,173,44
947,Bosque,9918,44
948,Bowie,102041,44
949,Brazoria,311546,44
950,Brazos,295104,44
951,Brewster,6610,44
952,Briscoe,1028,44
953,Brooks,10143,44
954,Burleson,7872,44
955,Burnet,24324,44
956,Callahan,6849,44
957,Cameron,488786,44
958,Camp,4441,44
959,Carson,4471,44
960,Castro,5546,44
961,Childress,5751,44
962,Cochran,2095,44
963,Coke,2202,44
964,Coleman,5267,44
965,Collin,1037387,44
966,Collingsworth,2292,44
967,Colorado,11922,44
968,Comal,127967,44
969,Concho,2132,44
970,Cooke,24093,44
971,Coryell,78552,44
972,Cottle,1116,44
973,Crane,3628,44
974,Crosby,4229,44
975,Culberson,2060,44
976,Dallam,8755,44
977,Dallas,7330519,44
978,DeWitt,10887,44
979,Deaf Smith,15043,44
980,Denton,890476,44
981,Dickens,920,44
982,Dimmit,7375,44
983,Donley,2408,44
984,Eastland,12698,44
985,Ector,168283,44
986,El Paso,1720410,44
987,Ellis,153513,44
988,Erath,24600,44
989,Falls,9577,44
990,Fannin,23189,44
991,Fisher,2109,44
992,Foard,594,44
993,Fort Bend,402531,44
994,Freestone,8176,44
995,Frio,14035,44
996,Gaines,10045,44
997,Galveston,412737,44
998,Garza,4571,44
999,Gillespie,12579,44
1000,Glasscock,262,44
1001,Goliad,1759,44
1002,Gonzales,11316,44
1003,Gray,22181,44
1004,Grayson,131711,44
1005,Gregg,129036,44
1006,Grimes,9436,44
1007,Guadalupe,76425,44
1008,Hale,34330,44
1009,Hansford,4820,44
1010,Harris,6397821,44
1011,Hartley,617,44
1012,Haskell,14474,44
1013,Hays,151610,44
1014,Hemphill,2379,44
1015,Hidalgo,1388228,44
1016,Hockley,16593,44
1017,Hood,27483,44
1018,Hudspeth,1784,44
1019,Hunt,47059,44
1020,Hutchinson,21899,44
1021,Irion,1009,44
1022,Jack,5003,44
1023,Jim Hogg,4627,44
1024,Jim Wells,28327,44
1025,Karnes,8725,44
1026,Kaufman,80452,44
1027,Kenedy,164,44
1028,Kerr,27756,44
1029,Kimble,2591,44
1030,Kinney,2871,44
1031,Kleberg,27131,44
1032,La Salle,5094,44
1033,Lamar,60375,44
1034,Lamb,11153,44
1035,Lampasas,9318,44
1036,Lavaca,11431,44
1037,Lipscomb,2545,44
1038,Live Oak,4704,44
1039,Llano,17862,44
1040,Loving,8,44
1041,Lubbock,279122,44
1042,Lynn,4027,44
1043,Matagorda,26965,44
1044,Maverick,54594,44
1045,McCulloch,5542,44
1046,McLennan,267971,44
1047,McMullen,227,44
1048,Midland,175152,44
1049,Milam,13676,44
1050,Montague,10685,44
1051,Motley,988,44
1052,Nacogdoches,35452,44
1053,Navarro,34368,44
1054,Nolan,12192,44
1055,Nueces,364151,44
1056,Ochiltree,8954,44
1057,Palo Pinto,17717,44
1058,Parker,54677,44
1059,Parmer,7120,44
1060,Pecos,10270,44
1061,Potter,214263,44
1062,Presidio,5301,44
1063,Rains,3624,44
1064,Randall,17723,44
1065,Reagan,3000,44
1066,Real,1465,44
1067,Red River,9416,44
1068,Reeves,13014,44
1069,Refugio,5308,44
1070,Rockwall,90143,44
1071,Runnels,7606,44
1072,Rusk,27025,44
1073,San Augustine,2195,44
1074,San Jacinto,4666,44
1075,San Patricio,52576,44
1076,San Saba,3396,44
1077,Schleicher,2034,44
1078,Scurry,11878,44
1079,Shackelford,1821,44
1080,Smith,183897,44
1081,Somervell,2726,44
1082,Starr,50001,44
1083,Sterling,1219,44
1084,Stonewall,1078,44
1085,Sutton,2955,44
1086,Swisher,5890,44
1087,Tarrant,2005401,44
1088,Taylor,173219,44
1089,Terry,10249,44
1090,Throckmorton,994,44
1091,Titus,17274,44
1092,Tom Green,105266,44
1093,Travis,1847834,44
1094,Tyler,8409,44
1095,Upton,2801,44
1096,Uvalde,19560,44
1097,Val Verde,43219,44
1098,Van Zandt,19820,44
1099,Victoria,71246,44
1100,Walker,99123,44
1101,Waller,22968,44
1102,Webb,267738,44
1103,Wharton,25255,44
1104,Wheeler,7188,44
1105,Wichita,124308,44
1106,Wilbarger,10769,44
1107,Willacy,16861,44
